App Name,APK,Accelerometer Usage (Y/N),Gyroscope Usage (Y/N),Magnetometer Usage (Y/N),Light Sensor Usage (Y/N),Proximity Sensor Usage (Y/N)
Les Pas - Photo Album for Nextcloud,site.leos.apps.lespas,N,N,N,N,N

GPS Cockpit,org.woheller69.gpscockpit,N,N,N,N,N

Chess,jwtc.android.chess,N,N,N,N,N

SuperTuxKart,org.supertuxkart.stk,Y,N,N,N,N

SatStat,com.vonglasow.michael.satstat,N,N,N,N,N

Show Articles in Map,de.k3b.android.geo2articlesmap,N,N,N,N,N

XCSoar,org.xcsoar,N,N,N,N,N

Mill,com.calcitem.sanmill,N,N,N,N,N

CameraAlign,org.jshobbysoft.cameraalign,N,N,N,N,N

AmSprung,at.h4x.amsprung,N,N,N,N,N

PocketMaps,com.junjunguo.pocketmaps,N,N,N,N,N

Pixel Wheels,com.agateau.tinywheels.android,Y,N,Y,N,N

Moonlight Game Streaming,com.limelight,N,N,N,N,N

Egyptian Mouse Pounce ,com.dozingcatsoftware.mouse_pounce,N,N,N,N,N

Every Door,info.zverev.ilya.every_door,N,N,N,N,N

IITC-CE Mobile,org.exarhteam.iitc_mobile,N,N,N,N,N

gobandroid ai gnugo,org.ligi.gobandroidhd.ai.gnugo,N,N,N,N,N

SanskritBasicsLetters,com.sanskritbasics,N,N,N,N,N

PianOli,com.nicobrailo.pianoli,N,N,N,N,N

Everest,io.github.mwageringel.everest,N,N,N,N,N

TIC-80,com.nesbox.tic,Y,N,N,N,N

Offline Puzzle Solver,t20kdc.offlinepuzzlesolver,N,N,N,N,N

AddisMapTransit,com.addismaptransit.app,N,N,N,N,N

Forkyz,app.crossword.yourealwaysbe.forkyz,N,N,N,N,N

J2ME Loader,ru.playsoftware.j2meloader,N,N,N,N,N

Compass,danielmeek32.compass,N,N,N,N,N

gpsdRelay,io.github.project_kaat.gpsdrelay,N,N,N,N,N

HardWhere,de.tu_darmstadt.seemoo.HardWhere,N,N,N,N,N

Tabletop Tools,com.github.muellerma.tabletoptools,N,N,N,N,N

Puzzles,name.boyle.chris.sgtpuzzles,N,N,N,N,N

MTG Familiar,com.gelakinetic.mtgfam,N,N,N,N,N

F̦hnix,foehnix.widget,N,N,N,N,N

Simple Sudoku Game,org.benoitharrault.sudoku,N,N,N,N,N

Dooz,io.github.yamin8000.dooz,N,N,N,N,N

BusTO,it.reyboz.bustorino,N,N,N,N,N

LavSeeker,org.woheller69.lavatories,N,N,N,N,N

GetBack GPS,com.github.ruleant.getback_gps,N,N,N,N,N

Traccar Client,org.traccar.client,N,N,N,N,N

Chess Clock,com.chess.clock,N,N,N,N,N

Sky Map,com.google.android.stardroid,N,N,N,N,N

LibreSudoku,com.kaajjo.libresudoku,N,N,N,N,N

GPSLogger,com.mendhak.gpslogger,N,N,N,N,N

Kotori,dev.melonpan.kotori,N,N,N,N,N

Simple Chess Clock,com.chessclock.android,N,N,N,N,N

now8: public transport,systems.now8.app,N,N,N,N,N

Vector Pinball,com.dozingcatsoftware.bouncy,N,N,N,N,N

Coordinate Joker,com.github.siggel.coordinatejoker,N,N,N,N,N

Nextcloud Cookbook,com.nextcloud_cookbook_flutter,N,N,N,N,N

jQuarks viewer,com.oF2pks.jquarks,N,N,N,N,N

Mygeo,org.calantas.mygeo,N,N,N,N,N

Ball2Box,com.simondalvai.ball2box,Y,N,Y,N,N

Vlille Checker,com.vlille.checker,N,N,N,N,N

Tridenta,org.stypox.tridenta,N,N,N,N,N

Dealing Sheet,org.principate.matthew.dealing_sheet,N,N,N,N,N

Destination Sol,com.miloshpetrov.sol2.android,Y,N,Y,N,N

Trivia You,com.bnyro.trivia,N,N,N,N,N

FLARE,org.flare.app,N,N,N,N,N

Phonograph Plus,player.phonograph.plus,N,N,N,N,N

AAT Another Activity Tracker,ch.bailu.aat,N,N,N,N,N

Quinb: 4 players reaction game,xyz.deepdaikon.quinb,N,N,N,N,N

GSAK for Locus,ch.bubendorf.locusaddon.gsakdatabase,N,N,N,N,N

Lemuroid,com.swordfish.lemuroid,N,N,N,N,N

OpenTopoMap Viewer,org.nitri.opentopo,N,N,N,N,N

